Change Physical Footprint: Designator=*1 Old Footprint=RJULE4218201 New Footprint=RJULE4218201
Change Physical Footprint: Designator=C1-1 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C1-2 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C2-1 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C2-2 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C3-1 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C3-2 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C4-1 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C4-2 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C5 Old Footprint=6-0805_M New Footprint=6-0805_M
Change Physical Footprint: Designator=C6 Old Footprint=6-0805_M New Footprint=6-0805_M
Change Physical Footprint: Designator=C7 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C8 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C9 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C10 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C11 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C12 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C13 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C14 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C15 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C16 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C17 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C18 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C19 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C20 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C21 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C22 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C23 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C24 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=C25 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C26 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C27 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C28 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C29 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C30 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C31 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C32 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C33 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C34 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C167 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C168 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=D1 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=D2 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=D3 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=D4 Old Footprint=SEMT-SO-8_V New Footprint=SEMT-SO-8_V
Change Physical Footprint: Designator=J1 Old Footprint=HSEC8-120-01-L-PV-4-1 Gold Fingers New Footprint=HSEC8-120-01-L-PV-4-1 Gold Fingers
Change Physical Footprint: Designator=L1 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=L2 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=L3 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=P1 Old Footprint=SMTC-FTSH-105-01-L-DV-K_V New Footprint=SMTC-FTSH-105-01-L-DV-K_V
Change Physical Footprint: Designator=R1 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=R2 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=R3 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=R4-1 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R4-2 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R5-1 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R5-2 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R6 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R7 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R8 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R9 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R10 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R11 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R12 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R13 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R14 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R15 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R16 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=R17 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R18 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R52 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=SW1 Old Footprint=PTS647SK38SMTR2LFS_CNK New Footprint=PTS647SK38SMTR2LFS_CNK
Change Physical Footprint: Designator=U1-1 Old Footprint=FP-BNO055-MFG New Footprint=FP-BNO055-MFG
Change Physical Footprint: Designator=U1-2 Old Footprint=FP-BNO055-MFG New Footprint=FP-BNO055-MFG
Change Physical Footprint: Designator=U2 Old Footprint=PDT0128A New Footprint=PDT0128A
Change Physical Footprint: Designator=U3 Old Footprint=PULS-HX1188FNL-SMT-16_V New Footprint=PULS-HX1188FNL-SMT-16_V
Change Physical Footprint: Designator=U4 Old Footprint=M20048-1 New Footprint=M20048-1
Change Physical Footprint: Designator=U6 Old Footprint=D0008A_N New Footprint=D0008A_N
Change Physical Footprint: Designator=U7 Old Footprint=SOT-323_DIO New Footprint=SOT-323_DIO
Change Physical Footprint: Designator=U25 Old Footprint=FP-DBZ0003A-MFG New Footprint=FP-DBZ0003A-MFG
Change Physical Footprint: Designator=Y1 Old Footprint=FC-135 32.7680KA-AC0 New Footprint=FC-135 32.7680KA-AC0
Change Physical Footprint: Designator=Y2 Old Footprint=OSCCC500X320X110-4N New Footprint=OSCCC500X320X110-4N
