Change Physical Footprint: Designator=ANT1 Old Footprint=FP-AMCA31-MFG New Footprint=FP-AMCA31-MFG
Change Physical Footprint: Designator=C1 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C2 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C3 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C4 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C5 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C6 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C7 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C8 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C9 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C10 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C11 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C12 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C13 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C14 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C15 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C16 Old Footprint=6-0805_M New Footprint=6-0805_M
Change Physical Footprint: Designator=C17 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C18 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C19 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C20 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C21 Old Footprint=6-0805_M New Footprint=6-0805_M
Change Physical Footprint: Designator=C22 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C23 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C24 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C25 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C26 Old Footprint=6-0805_M New Footprint=6-0805_M
Change Physical Footprint: Designator=C27 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C28 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C29 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C30 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C31 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C32 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C33 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C34 Old Footprint=6-0805_M New Footprint=6-0805_M
Change Physical Footprint: Designator=C35 Old Footprint=6-0805_M New Footprint=6-0805_M
Change Physical Footprint: Designator=C36 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C37 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C38 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C39 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C40 Old Footprint=PCAP_8x10-ELECT_NCA New Footprint=PCAP_8x10-ELECT_NCA
Change Physical Footprint: Designator=C41 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C42 Old Footprint=6-0805_M New Footprint=6-0805_M
Change Physical Footprint: Designator=C43 Old Footprint=6-0805_M New Footprint=6-0805_M
Change Physical Footprint: Designator=C44 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C45 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C46 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=C47 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=D1 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=D2 Old Footprint=CDBA5 New Footprint=CDBA5
Change Physical Footprint: Designator=D3 Old Footprint=CDBA5 New Footprint=CDBA5
Change Physical Footprint: Designator=D4 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=D5 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=D6 Old Footprint=FP-SOT23-MFG New Footprint=FP-SOT23-MFG
Change Physical Footprint: Designator=F1 Old Footprint=C1206 New Footprint=C1206
Change Physical Footprint: Designator=J1 Old Footprint=CONN_B2B-EH-A (LF)(SN)_JST New Footprint=CONN_B2B-EH-A (LF)(SN)_JST
Change Physical Footprint: Designator=J2 Old Footprint=CONN_B6B-XH-A(LF)(SN)_JST New Footprint=CONN_B6B-XH-A(LF)(SN)_JST
Change Physical Footprint: Designator=J3 Old Footprint=CONN_B4B-XH-A (LF)(SN)_JST New Footprint=CONN_B4B-XH-A (LF)(SN)_JST
Change Physical Footprint: Designator=J4 Old Footprint=CONN_B2B-EH-A (LF)(SN)_JST New Footprint=CONN_B2B-EH-A (LF)(SN)_JST
Change Physical Footprint: Designator=J5 Old Footprint=FP-U_FL-R-SMT-1_10-MFG New Footprint=FP-U_FL-R-SMT-1_10-MFG
Change Physical Footprint: Designator=L1 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=L2 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=L3 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=L4 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=L5 Old Footprint=WE-TPC-4818-M New Footprint=WE-TPC-4818-M
Change Physical Footprint: Designator=L6 Old Footprint=WE-PD-L New Footprint=WE-PD-L
Change Physical Footprint: Designator=P1 Old Footprint=SMTC-FTSH-105-01-L-DV-K_V New Footprint=SMTC-FTSH-105-01-L-DV-K_V
Change Physical Footprint: Designator=P2 Old Footprint=HDR1X3 New Footprint=HDR1X3
Change Physical Footprint: Designator=R1 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R2 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R3 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R4 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R5 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R6 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R7 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R8 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R9 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R10 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R11 Old Footprint=6-0805_M New Footprint=6-0805_M
Change Physical Footprint: Designator=R12 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R13 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R14 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R15 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R16 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R17 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R18 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R19 Old Footprint=6-0805_M New Footprint=6-0805_M
Change Physical Footprint: Designator=R20 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R21 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R22 Old Footprint=RC2512N_PAN New Footprint=RC2512N_PAN
Change Physical Footprint: Designator=R23 Old Footprint=RC2512N_PAN New Footprint=RC2512N_PAN
Change Physical Footprint: Designator=R24 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R25 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R26 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R27 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R28 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R29 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R30 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R31 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=R32 Old Footprint=0402-A New Footprint=0402-A
Change Physical Footprint: Designator=U1 Old Footprint=NRSC-QF-48_M New Footprint=NRSC-QF-48_M
Change Physical Footprint: Designator=U2 Old Footprint=FP-DBZ0003A-MFG New Footprint=FP-DBZ0003A-MFG
Change Physical Footprint: Designator=U3 Old Footprint=FP-LGA-14L-DM00249496-MFG New Footprint=FP-LGA-14L-DM00249496-MFG
Change Physical Footprint: Designator=U4 Old Footprint=DDC0006A_L New Footprint=DDC0006A_L
Change Physical Footprint: Designator=U5 Old Footprint=MP5087GG-Z New Footprint=MP5087GG-Z
Change Physical Footprint: Designator=U6 Old Footprint=TPS55340QRTERQ1 New Footprint=TPS55340QRTERQ1
Change Physical Footprint: Designator=U7 Old Footprint=FP-SOT25-IPC_B New Footprint=FP-SOT25-IPC_B
Change Physical Footprint: Designator=U8 Old Footprint=ALLEGRO_ACS70331EESATR-005U3 New Footprint=ALLEGRO_ACS70331EESATR-005U3
Change Physical Footprint: Designator=U9 Old Footprint=PWP0028C_L New Footprint=PWP0028C_L
Change Physical Footprint: Designator=X1 Old Footprint=FC-13532.7680KA-AC New Footprint=FC-13532.7680KA-AC
Change Physical Footprint: Designator=X2 Old Footprint=XRCGB32M000F1H00R0 New Footprint=XRCGB32M000F1H00R0
Change Physical Footprint: Designator=X3 Old Footprint=B2P-VH New Footprint=B2P-VH
